a_x,a_y,a_z,roll,pitch,yaw,timestamp,temp
-0.00,-0.00,1.00,0.05,0.06,-0.05,9501,22.83
0.00,-0.00,1.00,0.00,0.03,-0.05,9505,22.83
0.00,-0.00,1.00,-0.01,0.03,-0.05,9508,22.84
0.00,-0.00,1.00,-0.01,0.03,-0.02,9512,22.84
0.00,-0.00,1.00,0.00,0.03,-0.00,9517,22.84
0.00,0.00,1.00,-0.03,0.03,0.01,9521,22.84
0.00,0.00,1.00,-0.06,0.03,0.01,9524,22.84
0.00,0.00,1.00,-0.04,0.06,0.01,9528,22.84
0.00,0.00,1.00,0.00,0.07,0.01,9532,22.84
0.00,-0.00,1.00,0.05,0.07,0.01,9535,22.84
0.00,-0.00,1.00,0.05,0.06,0.01,9539,22.84
-0.00,-0.00,1.00,0.02,-0.02,0.01,9543,22.83
-0.00,-0.00,1.00,0.02,-0.05,0.03,9546,22.83
-0.00,-0.00,1.00,0.02,-0.08,0.05,9550,22.83
0.00,-0.00,1.00,0.03,-0.07,0.06,9554,22.78
0.00,-0.00,1.00,0.06,-0.03,0.11,9558,22.78
0.00,-0.00,1.00,0.05,-0.02,0.11,9562,22.78
0.00,0.00,1.00,-0.03,-0.00,0.08,9565,22.84
0.00,0.00,1.00,-0.06,0.01,0.05,9569,22.84
0.00,-0.00,1.00,-0.06,0.03,0.01,9573,22.84
-0.00,-0.00,1.00,-0.04,0.03,0.01,9576,22.85
-0.00,-0.00,1.00,0.02,-0.00,-0.00,9580,22.85
-0.00,-0.00,1.00,0.03,-0.02,-0.02,9584,22.85
-0.00,-0.00,1.00,0.05,-0.03,-0.02,9587,22.85
0.00,-0.00,1.00,0.03,-0.03,-0.00,9591,22.85
0.00,-0.00,1.00,0.00,0.01,0.03,9595,22.81
0.00,-0.00,1.00,-0.01,0.04,0.05,9600,22.81
0.00,-0.00,1.00,-0.01,0.09,0.03,9603,22.81
-0.00,0.00,1.00,0.00,0.09,0.01,9607,22.84
-0.00,0.00,1.00,0.03,0.06,-0.02,9611,22.84
0.00,0.00,1.00,0.05,0.04,-0.02,9614,22.84
0.00,-0.00,1.00,0.05,-0.00,0.03,9618,22.82
0.00,-0.00,1.00,0.05,-0.02,0.05,9621,22.82
0.00,-0.00,1.00,0.05,-0.05,0.06,9625,22.82
0.00,-0.00,1.00,0.05,-0.05,0.03,9629,22.87
0.00,-0.00,1.00,0.05,-0.03,-0.02,9632,22.87
0.00,-0.00,1.00,0.05,-0.02,-0.09,9636,22.87
0.00,-0.00,1.00,0.03,-0.02,-0.11,9640,22.84
0.00,-0.00,1.00,0.00,-0.02,-0.09,9644,22.84
-0.00,-0.00,1.00,-0.01,-0.03,-0.06,9648,22.84
-0.00,-0.00,1.00,0.00,-0.07,0.03,9652,22.85
-0.00,-0.00,1.00,0.00,-0.05,0.06,9656,22.85
-0.00,-0.00,1.00,0.00,-0.03,0.06,9659,22.85
-0.00,0.00,1.00,-0.01,0.03,0.06,9663,22.84
-0.00,0.00,1.00,0.00,0.04,0.06,9667,22.84
-0.00,0.00,1.00,0.02,0.06,0.05,9671,22.84
0.00,0.00,1.00,0.00,0.07,0.05,9674,22.80
0.00,0.00,1.00,-0.04,0.07,0.01,9678,22.80
0.00,0.00,1.00,-0.06,0.06,-0.00,9681,22.80
0.00,0.00,1.00,-0.06,0.03,-0.00,9686,22.81
0.00,0.00,1.00,-0.06,0.03,0.05,9690,22.81
0.00,0.00,1.00,-0.06,0.04,0.08,9693,22.81
0.00,0.00,1.00,-0.07,0.04,0.08,9697,22.81
0.00,0.00,1.00,-0.07,0.01,0.06,9701,22.81
0.00,0.00,1.00,-0.04,-0.05,0.03,9704,22.81
0.00,-0.00,1.00,0.00,-0.05,0.01,9708,22.80
-0.00,-0.00,1.00,0.06,-0.02,0.01,9712,22.80
-0.00,-0.00,1.00,0.06,0.01,0.01,9715,22.80
0.00,-0.00,1.00,0.02,0.04,0.01,9719,22.83
0.00,-0.00,1.00,-0.01,0.06,0.03,9723,22.83
0.00,-0.00,1.00,-0.06,0.01,0.03,9726,22.83
0.00,-0.00,1.00,-0.07,-0.00,0.03,9731,22.82
0.00,-0.00,1.00,-0.04,-0.02,-0.00,9735,22.82
-0.00,-0.00,1.00,-0.01,-0.00,-0.02,9738,22.82
-0.00,-0.00,1.00,0.02,-0.00,-0.02,9742,22.83
-0.00,-0.00,1.00,0.02,0.01,-0.02,9746,22.83
0.00,-0.00,1.00,0.00,0.01,0.03,9749,22.83
0.00,-0.00,1.00,0.00,0.01,0.05,9753,22.84
0.00,0.00,1.00,-0.01,0.01,0.05,9757,22.84
0.00,0.00,1.00,-0.01,-0.00,0.03,9760,22.84
0.00,0.00,1.00,-0.03,0.01,0.03,9764,22.83
0.00,-0.00,1.00,-0.04,0.03,0.03,9768,22.83
-0.00,-0.00,1.00,-0.04,0.06,0.01,9772,22.83
-0.00,-0.00,1.00,-0.04,0.07,-0.02,9776,22.80
-0.00,-0.00,1.00,-0.01,0.07,-0.06,9779,22.80
-0.00,-0.00,1.00,0.00,0.06,-0.05,9783,22.80
-0.00,0.00,1.00,0.03,0.04,-0.00,9787,22.84
-0.00,0.00,1.00,0.03,0.03,0.01,9791,22.84
-0.00,0.00,1.00,0.02,0.03,-0.02,9794,22.84
-0.00,0.00,1.00,0.00,0.03,-0.05,9798,22.82
